N,NB,time_s,gflops,status
1000,1,0.12,5.4287e+00,PASSED
1000,2,0.12,5.7347e+00,PASSED
1000,4,0.05,1.3495e+01,PASSED
1000,8,0.02,3.1011e+01,PASSED
1000,16,0.03,2.3972e+01,PASSED
1000,32,0.03,2.6529e+01,PASSED
1000,64,0.01,5.2167e+01,PASSED
1000,128,0.02,2.9733e+01,PASSED
1000,256,0.01,4.8348e+01,PASSED
5000,1,43.05,1.9365e+00,PASSED
5000,2,28.52,2.9231e+00,PASSED
5000,4,9.54,8.7401e+00,PASSED
5000,8,5.04,1.6539e+01,PASSED
5000,16,2.58,3.2376e+01,PASSED
5000,32,1.53,5.4504e+01,PASSED
5000,64,0.84,9.9263e+01,PASSED
5000,128,0.73,1.1393e+02,PASSED
5000,256,0.82,1.0129e+02,PASSED
10000,1,340.84,1.9564e+00,PASSED
10000,2,163.55,4.0772e+00,PASSED
10000,4,83.69,7.9676e+00,PASSED
10000,8,48.67,1.3702e+01,PASSED
10000,16,20.67,3.2258e+01,PASSED
10000,32,13.58,4.9098e+01,PASSED
10000,64,5.97,1.1174e+02,PASSED
10000,128,4.89,1.3647e+02,PASSED
10000,256,6.54,1.0193e+02,PASSED
20000,1,2603.29,2.0489e+00,PASSED
20000,2,1431.47,3.7262e+00,PASSED
20000,4,723.91,7.3683e+00,PASSED
20000,8,349.85,1.5246e+01,PASSED
20000,16,179.26,2.9755e+01,PASSED
20000,32,108.09,4.9348e+01,PASSED
20000,64,84.19,6.3358e+01,PASSED
20000,128,42.73,1.2482e+02,PASSED
20000,256,40.51,1.3166e+02,PASSED
